"sku","name","title","family","role","technologyType","hardwareType","productRole","catalogVisibility","roleCorrectionSource","description","features","featureTags","tags","capabilities","searchTerms","manualReviewNotes"
"EXP-SP-0104-H2","WyreStorm Essentials 4K60 1:4 Scaling HDMI Splitter - WyreStorm","WyreStorm Essentials 4K60 1:4 Scaling HDMI Splitter - WyreStorm","Splitter / Distribution","Primary hardware","Splitter / Distribution","Splitter / Distribution","primary-hardware","default","splitter-rule","The latest addition to the WyreStorm Essentials splitter range, the EXP-SP-0104-H2 now offers H2 features and the same value and reliability found in its predecessor, not to mention a few new tricks up its sleeve! Upgrades to support of the full 18Gbps bandwidth HDMI 2.0 offers; 2160p@60Hz 4:4:4 and support for Dolby Visionâ„¢ included. As if that wasnâ€™t enough, the EXP-SP-0104-H2 is now featuring a powerful built-in scaler, allowing users to simultaneously connect a mix of 4K and 1080p displays, which gives the sour...","HDMI; Scaling; Splitter / Distribution","HDMI; Scaling; Splitter / Distribution","HDMI; Scaling; Splitter / Distribution","HDMI; Scaling; Splitter / Distribution","EXP-SP-0104-H2; WyreStorm Essentials 4K60 1:4 Scaling HDMI Splitter - WyreStorm; Product; Primary hardware; HDMI; Scaling; Splitter / Distribution",
"EXP-SW-0401-H2","WyreStorm Essentials 4K60 4x1 HDMI Switcher - WyreStorm","WyreStorm Essentials 4K60 4x1 HDMI Switcher - WyreStorm","Splitter / Distribution","Primary hardware","Splitter / Distribution","Splitter / Distribution","primary-hardware","default","splitter-rule","The WyreStorm EXP-SW-0401-H2 is a powerful plug-and-play 4K switcher solution. With up to 18Gbps pure HDMI support, which allows up to four 4K HDR sources to be routed to a single display. The EXP-SW-0401-H2 is capable of auto switching, giving the user the convenience of simply turning on their favorite device without the requiring manual intervention. Furthermore, the EXP-SW-0401-H2 is equipped with signal compensation, allowing an extender or splitter to connect to its output without degrading or delaying the si...","Video Wall; Processing; HDMI; Splitter / Distribution","Video Wall; Processing; HDMI; Splitter / Distribution","Video Wall; Processing; HDMI; Splitter / Distribution","Video Wall; Processing; HDMI; Splitter / Distribution","EXP-SW-0401-H2; WyreStorm Essentials 4K60 4x1 HDMI Switcher - WyreStorm; Video Processor; Video processing hardware; Video Wall; Processing; HDMI; Splitter / Distribution; Primary hardware",
"EXP-SW-0X01-8K","WyreStorm Essentials 8K60 HDMI Switcher - WyreStorm","WyreStorm Essentials 8K60 HDMI Switcher - WyreStorm","Accessory","Primary hardware","Accessory","Accessory","primary-hardware","default","fallback","Our plug-and-play 8K HDMI switcher series has the ability to send uncompressed up to 8K@60Hz or 4K@120Hz resolutions to your display. These switchers also support DSC 1.2a pass-through, an approved method of compression in accordance to the HDMI 2.1 specification, allowing up to a 10K@120Hz signal to be transmitted losslessy. Ranging in two models with varying number of inputs to choose from, this powerful switcher series also gives you the tools to de-embed audio from your source if there isn't an option on the so...","Video Wall; Processing; HDMI; Accessory","Video Wall; Processing; HDMI; Accessory","Video Wall; Processing; HDMI; Accessory","Video Wall; Processing; HDMI; Accessory","EXP-SW-0X01-8K; WyreStorm Essentials 8K60 HDMI Switcher - WyreStorm; Video Processor; Video processing hardware; Video Wall; Processing; HDMI; Accessory; Primary hardware",
"FOCUS-100","1080P HD Webcam - Business USB Webcam w/ Mic | WyreStorm FOCUS 100 Webcam","1080P HD Webcam - Business USB Webcam w/ Mic | WyreStorm FOCUS 100 Webcam","Camera / Capture","Primary hardware","Camera / Capture","Camera / Capture","primary-hardware","default","exact-sku-override","WyreStorm FOCUS 100 1080P full HD business webcam surpasses video & sound quality provided by most laptops, ideal for home office & small meeting room.","USB; Camera / Capture","USB; Camera / Capture","USB; Camera / Capture","USB; Camera / Capture","FOCUS-100; 1080P HD Webcam - Business USB Webcam w/ Mic | WyreStorm FOCUS 100 Webcam; Product; Primary hardware; USB; Camera / Capture",
"FOCUS-180A","4K Autofocus AI Webcam w/ Auto Framing & Presenter Tracking","4K Autofocus AI Webcam w/ Auto Framing & Presenter Tracking","Camera / Capture","Primary hardware","Camera / Capture","Camera / Capture","primary-hardware","default","exact-sku-override","FOCUS 180A 4K autofocus webcam w/ auto framing, presenter tracking, ePTZ, a noise-canceling mic, ideal for home office and live streaming.","Camera / Capture","Camera / Capture","Camera / Capture","Camera / Capture","FOCUS-180A; 4K Autofocus AI Webcam w/ Auto Framing & Presenter Tracking; Product; Primary hardware; Camera / Capture",
"FOCUS-200","Zoom-Certified 4K Webcam | WyreStorm FOCUS 200 Ultra HD Wide-Angle","Zoom-Certified 4K Webcam | WyreStorm FOCUS 200 Ultra HD Wide-Angle","Camera / Capture","Primary hardware","Camera / Capture","Camera / Capture","primary-hardware","default","exact-sku-override","WyreStorm FOCUS 200 4K Ultra HD business-wide angle webcam with wide-angle distortion-less lens, ideal for home office or small meeting room.","Camera / Capture","Camera / Capture","Camera / Capture","Camera / Capture","FOCUS-200; Zoom-Certified 4K Webcam | WyreStorm FOCUS 200 Ultra HD Wide-Angle; Product; Primary hardware; Camera / Capture",
"FOCUS-200-PRO","4K Wide Angle Webcam - High-Quality Video for Streaming","4K Wide Angle Webcam - High-Quality Video for Streaming","Camera / Capture","Primary hardware","Camera / Capture","Camera / Capture","primary-hardware","default","exact-sku-override","4K Wide Angle Webcam offers crystal-clear video and a wide field of view, perfect for streaming, meetings, and video calls. Experience superior clarity.","Camera / Capture","Camera / Capture","Camera / Capture","Camera / Capture","FOCUS-200-PRO; 4K Wide Angle Webcam - High-Quality Video for Streaming; Product; Primary hardware; Camera / Capture",
"FOCUS-210","AI webcam - 4K Ultra-Wide Angle Webcam | WyreStorm","AI webcam - 4K Ultra-Wide Angle Webcam | WyreStorm","Camera / Capture","Primary hardware","Camera / Capture","Camera / Capture","primary-hardware","default","exact-sku-override","The Wyrestorm AI webcam is Wide Angle Webcam and 4K ultra HD webcam is a high quality, reliable and affordable solution for video conferencing and online meetings. It provides the perfect mix of features to help you work better.","Camera / Capture","Camera / Capture","Camera / Capture","Camera / Capture","FOCUS-210; AI webcam - 4K Ultra-Wide Angle Webcam | WyreStorm; Product; Primary hardware; Camera / Capture",
"HALO-30","Halo 30 Professional USB Conference Speakerphone | WyreStorm","Halo 30 Professional USB Conference Speakerphone | WyreStorm","Unified Comms","Primary hardware","Unified Comms","Unified Comms","primary-hardware","default","exact-sku-override","WyreStorm Halo 30 USB conference speakerphone with 4x mics, 360?? audio pickup and full-duplex audio, ideal for home office or small meeting room.","USB; Unified Comms","USB; Unified Comms","USB; Unified Comms","USB; Unified Comms","HALO-30; Halo 30 Professional USB Conference Speakerphone | WyreStorm; Product; Primary hardware; USB; Unified Comms",
"HALO-60","USB Bluetooth Speakerphone by Wyrestom","USB Bluetooth Speakerphone by Wyrestom","Unified Comms","Primary hardware","Unified Comms","Unified Comms","primary-hardware","default","exact-sku-override","USB Bluetooth Speakerphone offers crystal-clear audio, ideal for virtual meetings and conference calls with easy connectivity and seamless performance.","USB; Seamless Switching; Unified Comms","USB; Seamless Switching; Unified Comms","USB; Seamless Switching; Unified Comms","USB; Seamless Switching; Unified Comms","HALO-60; USB Bluetooth Speakerphone by Wyrestom; Product; Primary hardware; USB; Seamless Switching; Unified Comms",
"HALO-80","Plug and Play Portable USB and Bluetooth Conference Speakerphone - WyreStorm","Plug and Play Portable USB and Bluetooth Conference Speakerphone - WyreStorm","Unified Comms","Primary hardware","Unified Comms","Unified Comms","primary-hardware","default","exact-sku-override","Designed for flexibility and performance, this all-in-one speakerphone features advanced AEC, AGC and ANS for crystal-clear audio in remote conferences. With support for USB and Bluetooth connectivity, it adapts seamlessly to various setupsâ€”from huddle rooms to large meeting spaces. Equipped with 4 omnidirectional mic arrays and a powerful full-range speaker, it offers plug-and-play convenience and broad compatibility with major operating systems and conferencing platforms. Cascading up to 9 same speakerphones, it...","USB; Seamless Switching; Unified Comms","USB; Seamless Switching; Unified Comms","USB; Seamless Switching; Unified Comms","USB; Seamless Switching; Unified Comms","HALO-80; Plug and Play Portable USB and Bluetooth Conference Speakerphone - WyreStorm; Product; Primary hardware; USB; Seamless Switching; Unified Comms",
"HALO-90","WyreStorm Halo 90 USB-C Docking Conference Speakerphone","WyreStorm Halo 90 USB-C Docking Conference Speakerphone","Unified Comms","Primary hardware","Unified Comms","Unified Comms","primary-hardware","default","exact-sku-override","WyreStorm Halo 90 USB-C docking conference speakerphone with 4K HDMI output, USB 3.2 10Gbps and reverse charging, ideal for home office or small meeting room.","USB-C; USB; HDMI; Unified Comms","USB-C; USB; HDMI; Unified Comms","USB-C; USB; HDMI; Unified Comms","USB-C; USB; HDMI; Unified Comms","HALO-90; WyreStorm Halo 90 USB-C Docking Conference Speakerphone; Product; Primary hardware; USB-C; USB; HDMI; Unified Comms",
"HALO-COM-MIC","Add-On Microphone for Halo Video Bar - WyreStorm","Add-On Microphone for Halo Video Bar - WyreStorm","Unified Comms","Primary hardware","Unified Comms","Unified Comms","primary-hardware","default","uc-rule","Add-on microphone for use with the HALO-VX10-V2 video bar. Connect this mic to expand the pickup range. Connects to the VX10 via an included USB cable. The HALO-COM-MIC can be cascaded up to 3 times. Microphone Includes AEC, background noise reduction, automatic gain control to make all participants feel like they are in the same room. Pick up range is 3 - 5 meters.","USB; Unified Comms","USB; Unified Comms","USB; Unified Comms","USB; Unified Comms","HALO-COM-MIC; Add-On Microphone for Halo Video Bar - WyreStorm; Cable; Cable / request-only; USB; Unified Comms; Primary hardware",
"HALO-VX10-V1","WyreStorm Video Bar w/ 4K Camera, Stereo Speaker & Mic","WyreStorm Video Bar w/ 4K Camera, Stereo Speaker & Mic","Unified Comms","Primary hardware","Unified Comms","Unified Comms","primary-hardware","default","exact-sku-override","HALO VX10 video bar integrates a 4K wide-angle AI camera, 2x stereo speaker and 4x microphone into one device, ideal for huddle room and home office.","Unified Comms","Unified Comms","Unified Comms","Unified Comms","HALO-VX10-V1; WyreStorm Video Bar w/ 4K Camera, Stereo Speaker & Mic; Product; Primary hardware; Unified Comms",
"HALO-WFA-130","1080P HD Webcam - Business USB Webcam w/ Mic | WyreStorm FOCUS 100 Webcam","1080P HD Webcam - Business USB Webcam w/ Mic | WyreStorm FOCUS 100 Webcam","Camera / Capture","Primary hardware","Camera / Capture","Camera / Capture","primary-hardware","default","exact-sku-override","WyreStorm FOCUS 100 1080P full HD business webcam surpasses video & sound quality provided by most laptops, ideal for home office & small meeting room.","USB; Camera / Capture","USB; Camera / Capture","USB; Camera / Capture","USB; Camera / Capture","HALO-WFA-130; 1080P HD Webcam - Business USB Webcam w/ Mic | WyreStorm FOCUS 100 Webcam; Product; Primary hardware; USB; Camera / Capture",
"HALO-WFA-290","1080P HD Webcam - Business USB Webcam w/ Mic | WyreStorm FOCUS 100 Webcam","1080P HD Webcam - Business USB Webcam w/ Mic | WyreStorm FOCUS 100 Webcam","Camera / Capture","Primary hardware","Camera / Capture","Camera / Capture","primary-hardware","default","exact-sku-override","WyreStorm FOCUS 100 1080P full HD business webcam surpasses video & sound quality provided by most laptops, ideal for home office & small meeting room.","USB; Camera / Capture","USB; Camera / Capture","USB; Camera / Capture","USB; Camera / Capture","HALO-WFA-290; 1080P HD Webcam - Business USB Webcam w/ Mic | WyreStorm FOCUS 100 Webcam; Product; Primary hardware; USB; Camera / Capture",
"IDB-200-XX","Compact In-Desk Connectivity with Power - WyreStorm","Compact In-Desk Connectivity with Power - WyreStorm","Room Connectivity","Accessory / request-only","Room Connectivity","Room Connectivity","accessory","conditional-default","exact-sku-override","The IDB series in-desk connectivity products are simple to use solutions for corporate or education applications. Easy to install into a desk or table, the IDB-200 offers the essential connectivity for your meeting, lecture, or classroom. The IDB-200 features a flip-top lid to protect and help blend into the desk when not in use. The IDB-200-NA includes a North American Type B mains outlet.","Room Connectivity","Room Connectivity","Room Connectivity","Room Connectivity","IDB-200-XX; Compact In-Desk Connectivity with Power - WyreStorm; Product; Primary hardware; Room Connectivity; Accessory / request-only",
"IDB-400-MS","Flip Up In-Desk Connectivity with Power - WyreStorm","Flip Up In-Desk Connectivity with Power - WyreStorm","Room Connectivity","Accessory / request-only","Room Connectivity","Room Connectivity","accessory","conditional-default","exact-sku-override","The IDB series in-desk connectivity products are simple to use solutions for corporate or education applications. Easy to install into a desk or table, the IDB-400 offers a broad range of connectivity for your meeting, lecture, or classroom. The spring-loaded flip up design allows you to simply push on the lid to expose the ports. The IDB-400-MS includes a Type G mains outlet.","Room Connectivity","Room Connectivity","Room Connectivity","Room Connectivity","IDB-400-MS; Flip Up In-Desk Connectivity with Power - WyreStorm; Product; Primary hardware; Room Connectivity; Accessory / request-only",
"IDB-400-MS-C","Flip Up In-Desk Connectivity with Power - WyreStorm","Flip Up In-Desk Connectivity with Power - WyreStorm","Room Connectivity","Accessory / request-only","Room Connectivity","Room Connectivity","accessory","conditional-default","exact-sku-override","The IDB in-desk connectivity products are simple to use solutions for corporate or education applications. Easy to install into a desk or table, the IDB-400 offers a broad range of connectivity for your meeting, lecture, or classroom. The spring-loaded flip up design allows you to simply push on the lid to expose the ports.","Room Connectivity","Room Connectivity","Room Connectivity","Room Connectivity","IDB-400-MS-C; Flip Up In-Desk Connectivity with Power - WyreStorm; Product; Primary hardware; Room Connectivity; Accessory / request-only",
"IDB-400-NA","Flip Up In-Desk Connectivity with Power - WyreStorm","Flip Up In-Desk Connectivity with Power - WyreStorm","Room Connectivity","Accessory / request-only","Room Connectivity","Room Connectivity","accessory","conditional-default","exact-sku-override","The IDB series in-desk connectivity products are simple to use solutions for corporate or education applications. Easy to install into a desk or table, the IDB-400 offers a broad range of connectivity for your meeting, lecture, or classroom. The spring-loaded flip up design allows you to simply push on the lid to expose the ports. The IDB-400-NA includes a North American Type B mains outlet.","Room Connectivity","Room Connectivity","Room Connectivity","Room Connectivity","IDB-400-NA; Flip Up In-Desk Connectivity with Power - WyreStorm; Product; Primary hardware; Room Connectivity; Accessory / request-only",
"M4250-GSM4212PX-10P","Netgear Pre-configured 1GbE 10-port Switch with 1G/10G Uplinks for use with NetworkHD 100, 400 & 500 Series - WyreStorm","Netgear Pre-configured 1GbE 10-port Switch with 1G/10G Uplinks for use with NetworkHD 100, 400 & 500 Series - WyreStorm","NetworkHD AVoIP","System controller / conditional-default","AVoIP Infrastructure","AVoIP Infrastructure","system-controller","conditional-default","exact-sku-override","As part of WyreStorm's partnership with Netgear, WyreStorm now offers a number of pre-configured Netgear switches for use with NetworkHD 100, 400, 500 and 600 series. The M4250-GSM4212PX-10p comes with 8x 1G PoE+ 240W, 2x 1G and 2xSFP+ ports. This switch is engineered for 1G AV over IP with rear-facing ports ensuring a clean integration in AV racks. Pre-configured for out of the box functionality!","AVoIP; NetworkHD; AVoIP Infrastructure","AVoIP; NetworkHD; AVoIP Infrastructure","AVoIP; NetworkHD; AVoIP Infrastructure","AVoIP; NetworkHD; AVoIP Infrastructure","M4250-GSM4212PX-10P; Netgear Pre-configured 1GbE 10-port Switch with 1G/10G Uplinks for use with NetworkHD 100, 400 & 500 Series - WyreStorm; NetworkHD AVoIP; AVoIP endpoint / system component; AVoIP; NetworkHD; System controller / conditional-default; AVoIP Infrastructure",
