"Path","KB","Lines","ImportantRules","RootBlocks","SelectionRules","MediaBlocks"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_dashboard_compact_shell_20260630-094748\src\wingman2\styles\wingman-redesign-theme.css","25.66","820","316","1","1","4"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_home_body_reset_20260630-133647\src\wingman2\styles\wingman-redesign-theme.css","23.6","756","284","1","1","3"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_dashboard_drift_repair_20260630-083220\src\wingman2\styles\wingman-redesign-theme.css","23.09","672","182","1","1","3"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_css_sidebar_fix_20260708-060426\wingman-style-stack.before-sidebar-fix.css","23.01","1123","4","1","1","3"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_css_shell_fix_20260708-060626\wingman-style-stack.before-shell-fix.css","23.01","1123","4","1","1","3"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_home_navhub_reset_20260630-134236\src\wingman2\styles\wingman-redesign-theme.css","21.97","703","250","1","1","3"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_css_sidebar_fix_20260708-060333\wingman-style-stack.before-sidebar-fix.css","21.6","1067","4","1","1","3"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_dashboard_component_rewrite_20260630-090504\src\wingman2\styles\wingman-redesign-theme.css","21.17","642","178","1","1","3"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_navhub_specificity_lock_20260630-141804\src\wingman2\styles\wingman-redesign-theme.css","19.38","620","182","1","1","3"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_navhub_density_20260630-141138\src\wingman2\styles\wingman-redesign-theme.css","19.1","612","178","1","1","3"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_navhub_tighter_density_20260630-141546\src\wingman2\styles\wingman-redesign-theme.css","19.1","612","178","1","1","3"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_home_shared_css_20260630-134642\src\wingman2\styles\wingman-redesign-theme.css","18.03","561","158","1","1","1"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_home_navhub_reset_20260630-134327\src\wingman2\styles\wingman-redesign-theme.css","17.33","536","143","1","1","1"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_navhub_density_20260630-140851\src\wingman2\styles\wingman-redesign-theme.css","16.64","511","128","1","1","1"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_dashboard_visual_pass_20260630-082939\src\wingman2\styles\wingman-redesign-theme.css","16.63","511","128","1","1","1"
"archive\_wingman_backup_guru_single_instance_20260614-063825\src\styles\wingman-discovery-builder-layout.css","16.3","500","156","1","0","2"
"archive\repo-cleanup-20260709-050830\src-legacy\src\_legacy-unused\SourceDeviceCollator.css","15.49","741","8","0","0","2"
"src\wingman2\styles\wingman-reference-global.css","15.01","574","168","2","0","4"
".wingman-work\backups\20260811-125346\src\wingman2\styles\wingman-reference-global.css","15.01","574","168","2","0","4"
".wingman-work\backups\20260811-125821\src\wingman2\styles\wingman-reference-global.css","15.01","574","168","2","0","4"
".wingman-work\backups\20260811-125215\src\wingman2\styles\wingman-reference-global.css","15.01","574","168","2","0","4"
"archive\_wingman_backup_guru_single_instance_20260614-063825\src\wingman2\components\discovery\SourceDeviceCollator.css","14.94","648","8","0","0","2"
".wingman-work\backups\20260811-125346\src\wingman2\styles\wingman-products-light-graphics.css","5.99","188","50","0","0","2"
".wingman-work\backups\20260811-125821\src\wingman2\styles\wingman-products-light-graphics.css","5.99","188","50","0","0","2"
"src\wingman2\styles\wingman-products-light-graphics.css","5.99","188","50","0","0","2"
".wingman-work\backups\20260811-125215\src\wingman2\styles\wingman-products-light-graphics.css","5.99","188","50","0","0","2"
".wingman-work\backups\20260811-125821\src\wingman2\styles\wingman-product-tools-visual-weight.css","5.42","181","65","0","0","2"
".wingman-work\backups\20260811-125215\src\wingman2\styles\wingman-product-tools-visual-weight.css","5.42","181","65","0","0","2"
".wingman-work\backups\20260811-125346\src\wingman2\styles\wingman-product-tools-visual-weight.css","5.42","181","65","0","0","2"
"src\wingman2\styles\wingman-product-tools-visual-weight.css","5.42","181","65","0","0","2"
