"Path","Extension","Lines","KB"
"_RECOVERY\discovery-source-uc-final-20260717-130119\DiscoveryPage.tsx",".tsx","2443","94.65"
"_RECOVERY\discovery-source-uc-final-20260717-125926\DiscoveryPage.tsx",".tsx","2443","94.65"
"_backups\remove-discovery-trail-20260720-065201\wingman-workflow-theme.css",".css","2392","72.37"
"server\wingman-app-store.mjs",".mjs","2368","81.59"
"tools\enrich-wyrestorm-product-intelligence.mjs",".mjs","2220","105.73"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_page_markup_migration_20260630-074900\src\wingman2\pages\ProductCallCardsPage.tsx",".tsx","2179","62.89"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_visual_utility_migration_20260630-082229\src\wingman2\pages\ProductCallCardsPage.tsx",".tsx","2179","63.93"
"server\competitor\compare-intelligence.mjs",".mjs","2145","65.45"
"reports\compare-candidate-gate-audit.json",".json","2122","102.67"
"archive\_wingman_backup_guru_single_instance_20260614-063825\src\wingman2\components\discovery\SourceDeviceCollator.tsx",".tsx","2118","78.53"
".wingman-backups\discovery-unified-comms-20260717-115522\src\wingman2\pages\DiscoveryPage.tsx",".tsx","2066","79.6"
".wingman-backups\discovery-unified-comms-20260717-114353\src\wingman2\pages\DiscoveryPage.tsx",".tsx","2066","79.6"
".wingman-backups\discovery-unified-comms-20260717-111425\src\wingman2\pages\DiscoveryPage.tsx",".tsx","2066","79.6"
".wingman-backups\discovery-unified-comms-20260717-115102\src\wingman2\pages\DiscoveryPage.tsx",".tsx","2066","79.6"
".wingman-backups\discovery-unified-comms-20260717-110358\src\wingman2\pages\DiscoveryPage.tsx",".tsx","2066","79.6"
".wingman-backups\discovery-unified-comms-20260717-110839\src\wingman2\pages\DiscoveryPage.tsx",".tsx","2066","79.6"
".wingman-backups\discovery-unified-comms-20260717-115842\src\wingman2\pages\DiscoveryPage.tsx",".tsx","2066","79.6"
".wingman-backups\discovery-unified-comms-20260717-115545\src\wingman2\pages\DiscoveryPage.tsx",".tsx","2066","79.6"
".wingman-backups\discovery-unified-comms-20260717-112358\src\wingman2\pages\DiscoveryPage.tsx",".tsx","2066","79.6"
".wingman-backups\discovery-unified-comms-20260717-110557\src\wingman2\pages\DiscoveryPage.tsx",".tsx","2066","79.6"
"src\wingman2\data\projectStore.ts",".ts","2051","65.26"
".wingman-work\backups\20260811-125821\src\wingman2\data\projectStore.ts",".ts","2048","65.08"
".wingman-work\backups\20260811-125215\src\wingman2\data\projectStore.ts",".ts","2048","65.08"
".wingman-work\backups\20260811-125346\src\wingman2\data\projectStore.ts",".ts","2048","65.08"
"archive\_wingman_backup_guru_single_instance_20260614-063825\src\wingman2\pages\ProductCallCardsPage.tsx",".tsx","2025","56.18"
"_backups\retire-finder-feature-sweep-v5-20260720-085648\files\src\wingman2\data\projectStore.ts",".ts","2006","63.37"
"_backups\retire-finder-feature-sweep-v4-20260720-085242\files\src\wingman2\data\projectStore.ts",".ts","2006","63.37"
"_backups\retire-finder-feature-sweep-v3-20260720-084642\files\src\wingman2\data\projectStore.ts",".ts","2006","63.37"
"archive\_wingman_backup_guru_single_instance_20260614-063825\src\wingman2\pages\CallCardsPage.tsx",".tsx","2004","59.76"
"tools\refactor-room-templates-advisor.mjs",".mjs","1974","67.58"
".wingman-work\backups\20260811-125215\src\wingman2\components\WingmanGuruDrawer.tsx",".tsx","1966","68.48"
"src\wingman2\components\WingmanGuruDrawer.tsx",".tsx","1966","68.48"
".wingman-work\backups\20260811-125346\src\wingman2\components\WingmanGuruDrawer.tsx",".tsx","1966","68.48"
".wingman-work\backups\20260811-125821\src\wingman2\components\WingmanGuruDrawer.tsx",".tsx","1966","68.48"
"_backups\products-lighter-card-art-20260720-090650\src\wingman2\styles\wingman-polish-navigation.css",".css","1964","68.65"
"server\competitor\resolve-match.mjs",".mjs","1923","66.66"
"backups\product-call-cards-layout-20260711-063325\ProductCallCardsPage.tsx",".tsx","1885","66.56"
".wingman-backups\verified-proposal-templates-20260710-200928\files\src\wingman2\data\projectStore.ts",".ts","1871","59.29"
"src\wingman2\pages\ProductCallCardsPage.tsx",".tsx","1863","68.31"
".wingman-work\backups\20260811-125215\src\wingman2\pages\ProductCallCardsPage.tsx",".tsx","1863","68.31"
".wingman-work\backups\20260811-125821\src\wingman2\pages\ProductCallCardsPage.tsx",".tsx","1863","68.31"
".wingman-work\backups\20260811-125346\src\wingman2\pages\ProductCallCardsPage.tsx",".tsx","1863","68.31"
